               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  60,            0.039144,            0.010267,           0.0061873,             0.93344,             0.94597,             0.94055,             0.49175,            0.039355,           0.0075031,           0.0039768,            0.006106,            0.006106,            0.006106
                  61,            0.034079,           0.0097399,           0.0051357,             0.93564,             0.94573,             0.94804,              0.5156,             0.03437,            0.007444,           0.0037903,             0.00604,             0.00604,             0.00604
                  62,            0.034989,             0.01008,           0.0054181,             0.93655,             0.94057,             0.94388,             0.52069,             0.03275,           0.0075025,           0.0035664,            0.005974,            0.005974,            0.005974
                  63,            0.034016,            0.010058,           0.0049053,             0.93376,             0.95004,             0.95049,             0.53513,            0.031462,           0.0074638,           0.0033244,            0.005908,            0.005908,            0.005908
                  64,             0.03433,            0.010149,           0.0048064,             0.92374,             0.91273,             0.93652,             0.51501,            0.031975,           0.0072916,           0.0031914,            0.005842,            0.005842,            0.005842
                  65,            0.036091,           0.0092017,           0.0050381,             0.92855,             0.93692,             0.94986,             0.52404,            0.041769,           0.0071541,           0.0032378,            0.005776,            0.005776,            0.005776
                  66,            0.036987,            0.010164,           0.0049493,              0.9358,             0.92723,             0.95291,             0.52056,            0.030159,           0.0072145,           0.0038011,             0.00571,             0.00571,             0.00571
                  67,            0.035419,           0.0099893,           0.0054659,             0.94331,              0.9164,             0.94128,             0.52279,            0.031422,           0.0072479,           0.0036596,            0.005644,            0.005644,            0.005644
                  68,             0.03491,           0.0095413,           0.0051826,             0.91886,             0.91121,             0.92701,             0.50391,            0.029847,           0.0072599,           0.0035554,            0.005578,            0.005578,            0.005578
                  69,            0.034658,           0.0096602,           0.0050154,             0.93044,             0.92969,             0.94521,             0.51001,            0.031879,           0.0073186,           0.0034179,            0.005512,            0.005512,            0.005512
                  70,            0.033653,           0.0097248,           0.0046215,             0.88968,             0.91697,             0.93709,             0.51608,            0.033489,           0.0074177,           0.0033731,            0.005446,            0.005446,            0.005446
                  71,            0.033285,           0.0099506,           0.0045871,             0.90046,             0.91947,             0.94207,             0.54163,            0.030025,           0.0072877,           0.0031828,             0.00538,             0.00538,             0.00538
                  72,            0.032752,           0.0091756,           0.0043877,             0.96604,             0.86781,             0.94654,              0.5181,            0.031881,           0.0072169,           0.0030904,            0.005314,            0.005314,            0.005314
                  73,            0.033627,           0.0094182,           0.0046401,              0.9422,              0.9303,             0.96094,             0.53602,            0.028741,           0.0071707,           0.0031043,            0.005248,            0.005248,            0.005248
                  74,            0.034128,            0.009491,           0.0047844,             0.93632,             0.92956,             0.94376,             0.52121,            0.032703,           0.0072096,           0.0031841,            0.005182,            0.005182,            0.005182
                  75,            0.032796,           0.0099691,           0.0052157,             0.91641,             0.93634,              0.9468,             0.53358,            0.030523,           0.0072902,           0.0031125,            0.005116,            0.005116,            0.005116
                  76,            0.033407,           0.0094287,           0.0044666,             0.95398,             0.91639,             0.94381,             0.51487,            0.036265,           0.0073696,           0.0030646,             0.00505,             0.00505,             0.00505
                  77,            0.033313,             0.00999,           0.0045503,             0.92684,              0.9354,             0.93386,             0.52271,            0.030966,            0.007211,           0.0030193,            0.004984,            0.004984,            0.004984
                  78,            0.035485,            0.010133,            0.004444,             0.93083,             0.93453,             0.94079,             0.51049,             0.03205,           0.0073286,           0.0030789,            0.004918,            0.004918,            0.004918
                  79,            0.032833,           0.0092889,           0.0047338,             0.93148,              0.9424,             0.94624,             0.51661,            0.031445,           0.0072772,           0.0032075,            0.004852,            0.004852,            0.004852
                  80,            0.032029,            0.009323,           0.0045863,             0.92855,             0.93776,             0.94414,             0.51578,            0.032495,           0.0072903,           0.0031639,            0.004786,            0.004786,            0.004786
